> Eurasia
-97.316 15.353
-96.859 15.275
-96.394 15.271
-95.933 15.234
-95.487 15.115
-95.084 14.891
-94.69 14.654
-94.117 15.255
-92.374 15.468
-92.13 15.475
-91.896 15.469
-91.663 15.463
-91.495 15.415
-91.357 15.382
-91.117 15.37
-90.873 15.372
-90.719 15.403
-90.605 15.395
-90.492 15.386
-90.324 15.363
-90.111 15.343
-89.918 15.348
-89.702 15.388
-89.493 15.471
-89.275 15.581
-89.099 15.656
-88.863 15.77
-88.321 15.959
-88.111 16.037
-87.736 16.205
-87.175 16.439
-86.86 16.533
-86.32 16.695
-85.671 16.911
-84.91 17.107
-84.248 17.344
-83.706 17.481
-82.865 17.626
-82.244 17.691
-81.649 17.849
-81.667 18.904
-80.515 19.203
-79.263 19.379
-78.018 19.461
-77.252 19.649
-76.369 19.762
-75.048 19.791
-74.533 19.982
-74.863 21.052
-74.919 21.207
-74.6 21.018
-74.276 20.837
-73.942 20.673
-73.594 20.538
-73.231 20.442
-72.86 20.382
-72.484 20.345
-72.107 20.321
-71.73 20.296
-71.354 20.262
-70.98 20.209
-70.611 20.127
-70.253 20.012
-69.908 19.865
-69.56 19.723
-69.198 19.62
-68.825 19.56
-68.447 19.535
-68.069 19.54
-67.691 19.568
-67.315 19.615
-66.94 19.674
-66.567 19.739
-66.193 19.803
-65.817 19.859
-65.438 19.897
-65.058 19.909
-64.677 19.898
-64.298 19.867
-63.92 19.823
-63.544 19.766
-63.17 19.697
-62.8 19.612
-62.44 19.498
-62.091 19.355
-61.753 19.191
-61.422 19.015
-60.753 19.208
-59.949 19.455
-59.13 19.325
-58.309 19.192
-57.493 19.052
-56.804 18.694
-56.118 18.258
-55.484 17.784
-54.852 17.309
-54.156 17.136
-53.46 16.956
-52.881 16.761
-52.304 16.567
-51.661 16.321
-51.024 16.073
-50.467 15.87
-49.803 15.983
-49.207 16.035
-48.515 16.013
-47.693 15.957
-47.398 15.804
-46.766 15.451
-46.648 16.019
-46.529 16.587
-46.589 16.607
-46.498 17.087
-46.407 17.566
-46.52 17.588
-46.391 18.422
-46.322 18.481
-46.224 18.935
-46.184 18.932
-46.093 19.377
-46.002 19.823
-45.94 19.802
-45.774 20.618
-45.557 20.596
-45.419 21.222
-45.515 21.247
-45.385 21.822
-45.248 21.806
-45.157 22.39
-45.066 22.973
-45.024 22.963
-44.925 23.646
-45.699 23.784
-46.476 23.917
-46.196 24.597
-46.119 24.59
-45.791 25.254
-45.499 25.192
-45.296 25.637
-45.092 26.081
-44.899 26.055
-44.816 26.27
-44.867 26.28
-44.687 26.767
-44.506 27.254
-44.383 27.235
-44.203 27.671
-44.022 28.107
-43.942 28.105
-43.563 28.811
-43.483 28.802
-43.088 29.469
-43.037 29.471
-42.729 30.07
-42.136 29.973
-41.786 30.606
-41.43 31.237
-41.184 31.194
-40.71 31.817
-40.553 31.802
-40.129 32.444
-39.7 33.084
-39.586 33.067
-39.399 33.768
-38.597 33.637
-37.797 33.501
-37.678 33.736
-37.533 33.705
-37.336 34.136
-37.245 34.124
-37.046 34.567
-36.862 34.554
-36.785 34.712
-36.623 34.693
-36.373 35.28
-35.558 35.148
-34.746 35.01
-34.459 35.625
-34.335 35.616
-34.142 36.079
-34.057 36.071
-33.982 36.221
-33.772 36.185
-33.595 36.742
-33.313 36.691
-33.225 36.941
-33.005 36.916
-32.943 37.065
-32.708 37.033
-32.646 37.176
-32.395 37.137
-32.283 37.392
-31.516 37.282
-31.371 37.705
-31.071 37.68
-30.605 38.403
-30.43 38.388
-30.171 38.888
-29.909 39.387
-29.77 39.4
-29.609 39.993
-29.613 40.033
-29.58 40.079
-29.588 40.106
-29.657 40.107
-29.64 40.208
-29.631 40.285
-29.598 40.383
-29.57 40.469
-29.577 40.55
-29.561 40.599
-29.346 40.57
-29.3 40.705
-29.278 40.871
-29.256 40.985
-29.242 41.126
-29.229 41.215
-29.322 41.247
-29.292 41.385
-29.245 41.52
-29.206 41.683
-29.2 41.8
-29.162 41.91
-29.261 41.929
-29.242 42.083
-29.245 42.175
-29.223 42.237
-29.217 42.288
-29.435 42.291
-29.392 42.413
-29.37 42.527
-29.339 42.613
-29.318 42.674
-29.321 42.715
-29.372 42.724
-29.349 42.838
-29.327 42.952
-29.317 43.028
-29.311 43.077
-29.174 43.08
-29.091 43.208
-29.008 43.389
-28.934 43.493
-28.884 43.628
-28.84 43.698
-28.796 43.768
-28.59 43.823
-28.513 43.845
-28.481 43.931
-28.483 44.023
-28.455 44.096
-28.436 44.145
-28.435 44.198
-28.367 44.184
-28.32 44.307
-28.282 44.405
-28.257 44.518
-28.215 44.628
-28.168 44.751
-28.144 44.812
-28.142 44.864
-28.106 44.909
-28.157 44.92
-28.139 44.968
-28.115 45.03
-28.1 45.066
-28.076 45.127
-27.994 45.098
-27.988 45.163
-27.986 45.215
-27.979 45.28
-27.972 45.344
-27.937 45.337
-27.935 45.39
-27.938 45.43
-27.924 45.466
-27.871 45.456
-27.862 45.48
-27.864 45.521
-27.877 45.536
-27.825 45.526
-27.795 45.599
-27.773 45.7
-27.759 45.829
-27.739 45.878
-27.699 45.883
-27.697 45.936
-27.677 45.985
-27.602 45.983
-27.585 46.072
-27.572 46.149
-27.565 46.213
-27.512 46.203
-27.489 46.304
-27.487 46.356
-27.472 46.485
-27.446 46.638
-27.444 46.691
-27.436 46.755
-27.378 46.757
-27.377 46.849
-27.347 46.922
-27.334 46.999
-27.382 47.114
-27.441 47.205
-27.474 47.264
-27.461 47.341
-27.459 47.393
-27.464 47.473
-27.443 47.522
-27.448 47.602
-27.463 47.658
-27.564 47.651
-27.59 47.775
-27.622 47.886
-27.635 47.994
-27.654 48.09
-27.704 48.205
-27.712 48.325
-27.731 48.421
-27.749 48.517
-27.76 48.585
-27.89 48.609
-28.011 48.605
-28.035 48.688
-28.087 48.803
-28.162 48.909
-28.206 48.996
-28.263 49.099
-28.317 49.161
-28.353 49.22
-28.426 49.286
-28.452 49.369
-28.486 49.481
-28.545 49.583
-28.562 49.639
-28.718 49.653
-28.818 49.657
-28.869 49.731
-28.895 49.815
-28.96 49.905
-28.987 49.988
-28.995 50.068
-29.022 50.151
-29.127 50.195
-29.198 50.221
-29.322 50.32
-29.427 50.416
-29.508 50.469
-29.537 50.499
-29.662 50.598
-29.768 50.694
-29.831 50.743
-29.875 50.79
-29.909 50.861
-29.942 50.931
